name,category,rating,review_count,address,phone,website,google_maps_url
Dilpasand Restaurant,Pakistani restaurant,4.6,,"111-113 Commercial Rd, London E1 1RD, United Kingdom",+442072470285,http://www.dilpasandrestaurant.com/,https://www.google.com/maps/place/Dilpasand+Restaurant/data=!4m7!3m6!1s0x4876032480e42057:0xb7c86bdd21fc1816!8m2!3d51.514936!4d-0.0635997!16s%2Fg%2F11fpsv2sv0!19sChIJVyDkgCQDdkgRFhj8Id1ryLc?authuser=0&hl=en&rclk=1
Taste of Lahore,Pakistani restaurant,4.7,,"256 Edgware Rd, London W2 1DS, United Kingdom",+442077240300,http://www.toledgwareroad.co.uk/,https://www.google.com/maps/place/Taste+of+Lahore/data=!4m7!3m6!1s0x48761b32f15d5dbd:0xde67aeab5609fb7e!8m2!3d51.5192839!4d-0.1687891!16s%2Fg%2F11jz_srybt!19sChIJvV1d8TIbdkgRfvsJVquuZ94?authuser=0&hl=en&rclk=1
Lahore Village,Pakistani restaurant,4.9,,"364 Uxbridge Rd, London W12 7LL, United Kingdom",+442036746564,https://lahorevillage.shop/,https://www.google.com/maps/place/Lahore+Village/data=!4m7!3m6!1s0x48760fe557b8bac5:0xa7783c23209fb1ae!8m2!3d51.506586!4d-0.2342192!16s%2Fg%2F11qh30gf5z!19sChIJxbq4V-UPdkgRrrGfICM8eKc?authuser=0&hl=en&rclk=1
Lahore One Restaurant,Pakistani restaurant,4.4,,"218 Commercial Rd, London E1 2JT, United Kingdom",+442077910112,http://lahoreone.co.uk/,https://www.google.com/maps/place/Lahore+One+Restaurant/data=!4m7!3m6!1s0x48760332b1e27eb1:0x5b133d4ac85ab57d!8m2!3d51.5145505!4d-0.0594073!16s%2Fg%2F1v1skq1p!19sChIJsX7isTIDdkgRfbVayEo9E1s?authuser=0&hl=en&rclk=1
Tayyabs,Punjabi restaurant,3.9,,"83-89 Fieldgate St, London E1 1JU, United Kingdom",+442072479543,http://www.tayyabs.co.uk/,https://www.google.com/maps/place/Tayyabs/data=!4m7!3m6!1s0x48761ccb72da71b1:0x187b9124f0a57a52!8m2!3d51.5172755!4d-0.0634863!16s%2Fg%2F1hd_71hn7!19sChIJsXHacsscdkgRUnql8CSRexg?authuser=0&hl=en&rclk=1
Shalamar Kebab House,Pakistani restaurant,4.4,,"95 New Rd, London E1 1HH, United Kingdom",+442072477023,,https://www.google.com/maps/place/Shalamar+Kebab+House/data=!4m7!3m6!1s0x48761ddf93d10bdb:0xba9ad4a9430fc0b2!8m2!3d51.5172058!4d-0.062616!16s%2Fg%2F1hc2w3_x1!19sChIJ2wvRk98ddkgRssAPQ6nUmro?authuser=0&hl=en&rclk=1
Dera - Authentic Pakistani Cuisine,Pakistani restaurant,4.6,,"248 Kingsbury Rd, London NW9 0BG, United Kingdom",+442089307940,http://www.dera.org.uk/,https://www.google.com/maps/place/Dera+-+Authentic+Pakistani+Cuisine/data=!4m7!3m6!1s0x487611d222e746e1:0xbe16afbbd7b54fec!8m2!3d51.583868!4d-0.2642841!16s%2Fg%2F11h7fnnbpf!19sChIJ4UbnItIRdkgR7E-117uvFr4?authuser=0&hl=en&rclk=1
Spice Village,Pakistani restaurant,4.6,,"121 Upper Tooting Rd, London SW17 7TJ, United Kingdom",+442086720710,,https://www.google.com/maps/place/Spice+Village/data=!4m7!3m6!1s0x487605de67e339d5:0xfaa7d39b3b1d7dca!8m2!3d51.4327516!4d-0.1634904!16s%2Fg%2F1tl0wtnr!19sChIJ1TnjZ94FdkgRyn0dO5vTp_o?authuser=0&hl=en&rclk=1
PAR LONDON - PAK AL REYAN RESTAURANT,Pakistani restaurant,4.8,,"57 Hoe St, London E17 4SA, United Kingdom",+442083870017,https://www.pakalreyan.com/menu/,https://www.google.com/maps/place/PAR+LONDON+-+PAK+AL+REYAN+RESTAURANT/data=!4m7!3m6!1s0x48761db887ec2913:0x15bedcfd75d31f7d!8m2!3d51.5876321!4d-0.0206568!16s%2Fg%2F11l733q0dk!19sChIJEynsh7gddkgRfR_Tdf3cvhU?authuser=0&hl=en&rclk=1
Lahore Karahi,Pakistani restaurant,4.2,,"1 Tooting High St, London SW17 0SN, United Kingdom",+442087672477,http://www.lahorekarahi.co.uk/,https://www.google.com/maps/place/Lahore+Karahi/data=!4m7!3m6!1s0x48760727cb2c835f:0x5b904862ce929991!8m2!3d51.4295269!4d-0.1660938!16s%2Fg%2F11h6tjnnnh!19sChIJX4MsyycHdkgRkZmSzmJIkFs?authuser=0&hl=en&rclk=1
Salloos,Pakistani restaurant,4.2,,"62-64 Kinnerton St, London SW1X 8ER, United Kingdom",+442072354444,https://salloos.co.uk/#utm_source=GMBlisting&utm_medium=Organic&utm_campaign=Website,https://www.google.com/maps/place/Salloos/data=!4m7!3m6!1s0x4876053a4a93c693:0xa5e99e5c2950952f!8m2!3d51.5016875!4d-0.156929!16s%2Fg%2F1tgk02yl!19sChIJk8aTSjoFdkgRL5VQKVye6aU?authuser=0&hl=en&rclk=1
Lahori Nihaari London,Pakistani restaurant,4.1,,"50 Plashet Grove, London E6 1AE, United Kingdom",+442085869148,https://lahorinihaarilondon.shop/,https://www.google.com/maps/place/Lahori+Nihaari+London/data=!4m7!3m6!1s0x47d8a7b7ea024f45:0xa8bcf3b13580b755!8m2!3d51.5369759!4d0.0366534!16s%2Fg%2F1tlkbn26!19sChIJRU8C6ren2EcRVbeANbHzvKg?authuser=0&hl=en&rclk=1
Zayna,Pakistani restaurant,4.3,,"25 New Quebec St, London W1H 7SF, United Kingdom",+442077232229,http://www.zaynarestaurant.co.uk/,https://www.google.com/maps/place/Zayna/data=!4m7!3m6!1s0x4876053352b0739d:0xb97c7cafb1a02c9b!8m2!3d51.5149792!4d-0.1582701!16s%2Fg%2F1tf35f84!19sChIJnXOwUjMFdkgRmyygsa98fLk?authuser=0&hl=en&rclk=1
Karachi Cuisine,Pakistani restaurant,4.3,,"1113-1115 London Rd, London SW16 4XD, United Kingdom",+442086896868,https://www.karachicuisine.com/,https://www.google.com/maps/place/Karachi+Cuisine/data=!4m7!3m6!1s0x487606e8165f8485:0x42661c792af8f5fe!8m2!3d51.401986!4d-0.1189774!16s%2Fg%2F1hc9dbbrz!19sChIJhYRfFugGdkgR_vX4KnkcZkI?authuser=0&hl=en&rclk=1
Namak Mandi,Pakistani restaurant,4.4,,"25 Upper Tooting Rd, Tooting Bec, London SW17 7TS, United Kingdom",+442087676120,https://namakmandi.co.uk/,https://www.google.com/maps/place/Namak+Mandi/data=!4m7!3m6!1s0x487605de8bf7e2fd:0x23dd6a97be7b7bc5!8m2!3d51.4350697!4d-0.1606976!16s%2Fg%2F1hc3qbck3!19sChIJ_eL3i94FdkgRxXt7vpdq3SM?authuser=0&hl=en&rclk=1
Little Lahore Shepherds Bush,Pakistani restaurant,4.8,,"160 Uxbridge Rd, London W12 8AA, United Kingdom",+442039492277,https://littlelahore.uk/,https://www.google.com/maps/place/Little+Lahore+Shepherds+Bush/data=!4m7!3m6!1s0x48760d005801bfc7:0x914a85aac1b41b11!8m2!3d51.5051613!4d-0.2238445!16s%2Fg%2F11x5t12lnr!19sChIJx78BWAANdkgRERu0waqFSpE?authuser=0&hl=en&rclk=1
