name,category,rating,review_count,address,phone,website,google_maps_url
Terra Rossa,Italian restaurant,4.6,,139 Upper St,,,https://www.google.com/maps/place/Terra+Rossa/data=!4m7!3m6!1s0x48761bc468d59059:0x49e12b5d81464d59!8m2!3d51.5395052!4d-0.1026342!16s%2Fg%2F11h1snf6pz!19sChIJWZDVaMQbdkgRWU1GgV0r4Uk?authuser=0&hl=en&rclk=1
Brother Marcus Angel,Mediterranean restaurant,4.7,,37-39 Camden Passage,,,https://www.google.com/maps/place/Brother+Marcus+Angel/data=!4m7!3m6!1s0x48761b546077d26b:0x1d50a587735f1815!8m2!3d51.5352745!4d-0.1035845!16s%2Fg%2F11ghscxvrg!19sChIJa9J3YFQbdkgRFRhfc4elUB0?authuser=0&hl=en&rclk=1
Mangia Bene,Italian restaurant,4.7,,18 Chapel Market,,,https://www.google.com/maps/place/Mangia+Bene/data=!4m7!3m6!1s0x48761b424d4681a9:0x94e0afbd1597656!8m2!3d51.5335342!4d-0.109528!16s%2Fg%2F1v8y3j6n!19sChIJqYFGTUIbdkgRVnZZ0fsKTgk?authuser=0&hl=en&rclk=1
Liman Restaurant,Turkish restaurant,4.7,,60 Penton St,,,https://www.google.com/maps/place/Liman+Restaurant/data=!4m7!3m6!1s0x48761b422c82ea0d:0x73d03890b506c4ad!8m2!3d51.5334818!4d-0.1112641!16s%2Fg%2F11b_2ftrht!19sChIJDeqCLEIbdkgRrcQGtZA40HM?authuser=0&hl=en&rclk=1
La Divina Italian Restaurant,Italian restaurant,4.6,,134 Upper St,,,https://www.google.com/maps/place/La+Divina+Italian+Restaurant/data=!4m7!3m6!1s0x48761b66f857cd4b:0x8afd6c812801c57!8m2!3d51.5392687!4d-0.1025622!16s%2Fg%2F1tlbt66f!19sChIJS81X-GYbdkgRVxyAEsjWrwg?authuser=0&hl=en&rclk=1
Jam Delish Islington,Vegan restaurant,4.7,,1 Tolpuddle St,,,https://www.google.com/maps/place/Jam+Delish+Islington/data=!4m7!3m6!1s0x487605754cf4ce41:0x4b328956e786930c!8m2!3d51.534451!4d-0.1087896!16s%2Fg%2F11l15qjmkw!19sChIJQc70THUFdkgRDJOG51aJMks?authuser=0&hl=en&rclk=1
Mr LoBo,Peruvian restaurant,4.9,,176 Upper St,,,https://www.google.com/maps/place/Mr+LoBo/data=!4m7!3m6!1s0x48761b05729fa2f9:0xf084904b0600653e!8m2!3d51.5415683!4d-0.1031327!16s%2Fg%2F11k4hlt1s7!19sChIJ-aKfcgUbdkgRPmUABkuQhPA?authuser=0&hl=en&rclk=1
OmNom Islington,Indian restaurant,4.8,,"Islington Square, 116N Upper St",,,https://www.google.com/maps/place/OmNom+Islington/data=!4m7!3m6!1s0x48761b93cdd59c31:0xf30e9a5a2357e625!8m2!3d51.5384137!4d-0.1035841!16s%2Fg%2F11grbv8qx6!19sChIJMZzVzZMbdkgRJeZXI1qaDvM?authuser=0&hl=en&rclk=1
"Rosa's Thai Angel, Islington",Thai restaurant,4.7,,6 Theberton St,,,"https://www.google.com/maps/place/Rosa%27s+Thai+Angel,+Islington/data=!4m7!3m6!1s0x48761b67a14d8c39:0x7c407ec6e262d28c!8m2!3d51.5376718!4d-0.1032197!16s%2Fg%2F11b6j4d20t!19sChIJOYxNoWcbdkgRjNJi4sZ-QHw?authuser=0&hl=en&rclk=1"
RE:1996,Restaurant,4.9,,102 Upper St,,,https://www.google.com/maps/place/RE:1996/data=!4m7!3m6!1s0x48761b2ad7b7f565:0x98c522a89aa62439!8m2!3d51.5377068!4d-0.1029806!16s%2Fg%2F11xh4_1vxw!19sChIJZfW31yobdkgROSSmmqgixZg?authuser=0&hl=en&rclk=1
TANAKATSU,Japanese restaurant,4.7,,10 Wakley St,,,https://www.google.com/maps/place/TANAKATSU/data=!4m7!3m6!1s0x48761b5b8f09e6dd:0x1d058f16ae27fd9d!8m2!3d51.5302782!4d-0.1020216!16s%2Fg%2F11dxkvmklq!19sChIJ3eYJj1sbdkgRnf0nrhaPBR0?authuser=0&hl=en&rclk=1
Sophe’s bar cafe & Restaurant,Ethiopian restaurant,4.9,,269 Caledonian Rd,,,https://www.google.com/maps/place/Sophe%E2%80%99s+bar+cafe+%26+Restaurant/data=!4m7!3m6!1s0x48761bb72fdb5bef:0xafaa1288138f6287!8m2!3d51.5398196!4d-0.1170655!16s%2Fg%2F11pzk0v1lh!19sChIJ71vbL7cbdkgRh2KPE4gSqq8?authuser=0&hl=en&rclk=1
"Rack and Bite, Islington",Restaurant,4.6,,466 Caledonian Rd,,,"https://www.google.com/maps/place/Rack+and+Bite,+Islington/data=!4m7!3m6!1s0x48761b1b8cdadb49:0x6bb00ea168c761be!8m2!3d51.5478348!4d-0.1177862!16s%2Fg%2F11y4tnv9tm!19sChIJSdvajBsbdkgRvmHHaKEOsGs?authuser=0&hl=en&rclk=1"
Nem Nem,Vietnamese restaurant,4.6,,279 Upper St,,,https://www.google.com/maps/place/Nem+Nem/data=!4m7!3m6!1s0x48761b668bbcb371:0x31638de3ae1daef6!8m2!3d51.5401117!4d-0.1023674!16s%2Fg%2F11bw2_hlxz!19sChIJcbO8i2YbdkgR9q4druONYzE?authuser=0&hl=en&rclk=1
Wolkite Restaurant,Ethiopian restaurant,4.7,,82 Hornsey Rd,,,https://www.google.com/maps/place/Wolkite+Restaurant/data=!4m7!3m6!1s0x48761b76095730df:0x28d5b5820cfa465c!8m2!3d51.5561286!4d-0.1110734!16s%2Fg%2F11ycqv0l6!19sChIJ3zBXCXYbdkgRXEb6DIK11Sg?authuser=0&hl=en&rclk=1
Megan's at the Sorting Office (Islington Square),Mediterranean restaurant,4.5,,6 Esther Anne Pl,,,https://www.google.com/maps/place/Megan%27s+at+the+Sorting+Office+%28Islington+Square%29/data=!4m7!3m6!1s0x48761b6a2a06d833:0x83039595c178f0b1!8m2!3d51.5389371!4d-0.1040032!16s%2Fg%2F11j4f2xgd2!19sChIJM9gGKmobdkgRsfB4wZWVA4M?authuser=0&hl=en&rclk=1
Rosa's Thai King's Cross,Thai restaurant,4.7,,15-17 Caledonian Rd,,,https://www.google.com/maps/place/Rosa%27s+Thai+King%27s+Cross/data=!4m7!3m6!1s0x48761bee4c093c1b:0xc19a3bd137e423a0!8m2!3d51.5315325!4d-0.1210905!16s%2Fg%2F11swk5yn9r!19sChIJGzwJTO4bdkgRoCPkN9E7msE?authuser=0&hl=en&rclk=1
Heddon Street Kitchen,Modern European restaurant,4.3,,3-9 Heddon St,,,https://www.google.com/maps/place/Heddon+Street+Kitchen/data=!4m7!3m6!1s0x487604d5c1e8e5d5:0x7d0bc76c231a6058!8m2!3d51.5106881!4d-0.1393293!16s%2Fg%2F12hm_9pdk!19sChIJ1eXowdUEdkgRWGAaI2zHC30?authuser=0&hl=en&rclk=1
Pizza Union Hoxton,Pizza restaurant,4.6,,145 City Rd,,,https://www.google.com/maps/place/Pizza+Union+Hoxton/data=!4m7!3m6!1s0x48761d3c8eae9ccb:0xaa67f36518320d12!8m2!3d51.5275386!4d-0.088495!16s%2Fg%2F11fqc04f_n!19sChIJy5yujjwddkgREg0yGGXzZ6o?authuser=0&hl=en&rclk=1
Italiano Pizza,Pizza restaurant,4.8,,59 Nile St,,,https://www.google.com/maps/place/Italiano+Pizza/data=!4m7!3m6!1s0x48761ca6988f0aa3:0xebb4fcceb3f82838!8m2!3d51.5293846!4d-0.0886181!16s%2Fg%2F1v9gjh30!19sChIJowqPmKYcdkgROCj4s878tOs?authuser=0&hl=en&rclk=1
O Tino Restaurant,Portuguese restaurant,4.8,,1 Plender St,,,https://www.google.com/maps/place/O+Tino+Restaurant/data=!4m7!3m6!1s0x48761b1f8a5b1f83:0xee216a39992b9526!8m2!3d51.5360565!4d-0.1393919!16s%2Fg%2F1tlbt65c!19sChIJgx9bih8bdkgRJpUrmTlqIe4?authuser=0&hl=en&rclk=1
