name,category,rating,review_count,address,phone,website,google_maps_url
Dilpasand Restaurant,Pakistani restaurant,4.6,,"111-113 Commercial Rd, London E1 1RD, United Kingdom",+442072470285,http://www.dilpasandrestaurant.com/,https://www.google.com/maps/place/Dilpasand+Restaurant/data=!4m7!3m6!1s0x4876032480e42057:0xb7c86bdd21fc1816!8m2!3d51.514936!4d-0.0635997!16s%2Fg%2F11fpsv2sv0!19sChIJVyDkgCQDdkgRFhj8Id1ryLc?authuser=0&hl=en&rclk=1
Lahore Village,Pakistani restaurant,4.9,,"364 Uxbridge Rd, London W12 7LL, United Kingdom",+442036746564,https://lahorevillage.shop/,https://www.google.com/maps/place/Lahore+Village/data=!4m7!3m6!1s0x48760fe557b8bac5:0xa7783c23209fb1ae!8m2!3d51.506586!4d-0.2342192!16s%2Fg%2F11qh30gf5z!19sChIJxbq4V-UPdkgRrrGfICM8eKc?authuser=0&hl=en&rclk=1
Taste of Lahore,Pakistani restaurant,4.7,,"256 Edgware Rd, London W2 1DS, United Kingdom",+442077240300,http://www.toledgwareroad.co.uk/,https://www.google.com/maps/place/Taste+of+Lahore/data=!4m7!3m6!1s0x48761b32f15d5dbd:0xde67aeab5609fb7e!8m2!3d51.5192839!4d-0.1687891!16s%2Fg%2F11jz_srybt!19sChIJvV1d8TIbdkgRfvsJVquuZ94?authuser=0&hl=en&rclk=1
Lahore One Restaurant,Pakistani restaurant,4.4,,"218 Commercial Rd, London E1 2JT, United Kingdom",+442077910112,http://lahoreone.co.uk/,https://www.google.com/maps/place/Lahore+One+Restaurant/data=!4m7!3m6!1s0x48760332b1e27eb1:0x5b133d4ac85ab57d!8m2!3d51.5145505!4d-0.0594073!16s%2Fg%2F1v1skq1p!19sChIJsX7isTIDdkgRfbVayEo9E1s?authuser=0&hl=en&rclk=1
Dera - Authentic Pakistani Cuisine,Pakistani restaurant,4.6,,"248 Kingsbury Rd, London NW9 0BG, United Kingdom",+442089307940,http://www.dera.org.uk/,https://www.google.com/maps/place/Dera+-+Authentic+Pakistani+Cuisine/data=!4m7!3m6!1s0x487611d222e746e1:0xbe16afbbd7b54fec!8m2!3d51.583868!4d-0.2642841!16s%2Fg%2F11h7fnnbpf!19sChIJ4UbnItIRdkgR7E-117uvFr4?authuser=0&hl=en&rclk=1
Spice Village,Pakistani restaurant,4.6,,121 Upper Tooting Rd,,,https://www.google.com/maps/place/Spice+Village/data=!4m7!3m6!1s0x487605de67e339d5:0xfaa7d39b3b1d7dca!8m2!3d51.4327516!4d-0.1634904!16s%2Fg%2F1tl0wtnr!19sChIJ1TnjZ94FdkgRyn0dO5vTp_o?authuser=0&hl=en&rclk=1
PAR LONDON - PAK AL REYAN RESTAURANT,Pakistani restaurant,4.8,,57 Hoe St,,,https://www.google.com/maps/place/PAR+LONDON+-+PAK+AL+REYAN+RESTAURANT/data=!4m7!3m6!1s0x48761db887ec2913:0x15bedcfd75d31f7d!8m2!3d51.5876321!4d-0.0206568!16s%2Fg%2F11l733q0dk!19sChIJEynsh7gddkgRfR_Tdf3cvhU?authuser=0&hl=en&rclk=1
Little Lahore Shepherds Bush,Pakistani restaurant,4.8,,160 Uxbridge Rd,,,https://www.google.com/maps/place/Little+Lahore+Shepherds+Bush/data=!4m7!3m6!1s0x48760d005801bfc7:0x914a85aac1b41b11!8m2!3d51.5051613!4d-0.2238445!16s%2Fg%2F11x5t12lnr!19sChIJx78BWAANdkgRERu0waqFSpE?authuser=0&hl=en&rclk=1
Lahore Karahi,Pakistani restaurant,4.2,,1 Tooting High St,,,https://www.google.com/maps/place/Lahore+Karahi/data=!4m7!3m6!1s0x48760727cb2c835f:0x5b904862ce929991!8m2!3d51.4295269!4d-0.1660938!16s%2Fg%2F11h6tjnnnh!19sChIJX4MsyycHdkgRkZmSzmJIkFs?authuser=0&hl=en&rclk=1
Aladin Kebabish,Pakistani restaurant,4.2,,147-149 W Hendon Broadway,,,https://www.google.com/maps/place/Aladin+Kebabish/data=!4m7!3m6!1s0x4876111f7b03778d:0xf3a6c1a7f528fcc7!8m2!3d51.5767685!4d-0.2390294!16s%2Fg%2F11b7lmj4v1!19sChIJjXcDex8RdkgRx_wo9afBpvM?authuser=0&hl=en&rclk=1
Karachi Cuisine,Pakistani restaurant,4.3,,1113-1115 London Rd,,,https://www.google.com/maps/place/Karachi+Cuisine/data=!4m7!3m6!1s0x487606e8165f8485:0x42661c792af8f5fe!8m2!3d51.401986!4d-0.1189774!16s%2Fg%2F1hc9dbbrz!19sChIJhYRfFugGdkgR_vX4KnkcZkI?authuser=0&hl=en&rclk=1
Tayyabs,Punjabi restaurant,3.9,,83-89 Fieldgate St,,,https://www.google.com/maps/place/Tayyabs/data=!4m7!3m6!1s0x48761ccb72da71b1:0x187b9124f0a57a52!8m2!3d51.5172755!4d-0.0634863!16s%2Fg%2F1hd_71hn7!19sChIJsXHacsscdkgRUnql8CSRexg?authuser=0&hl=en&rclk=1
Shalamar Kebab House,Pakistani restaurant,4.4,,95 New Rd,,,https://www.google.com/maps/place/Shalamar+Kebab+House/data=!4m7!3m6!1s0x48761ddf93d10bdb:0xba9ad4a9430fc0b2!8m2!3d51.5172058!4d-0.062616!16s%2Fg%2F1hc2w3_x1!19sChIJ2wvRk98ddkgRssAPQ6nUmro?authuser=0&hl=en&rclk=1
Namak Mandi,Pakistani restaurant,4.4,,25 Upper Tooting Rd,,,https://www.google.com/maps/place/Namak+Mandi/data=!4m7!3m6!1s0x487605de8bf7e2fd:0x23dd6a97be7b7bc5!8m2!3d51.4350697!4d-0.1606976!16s%2Fg%2F1hc3qbck3!19sChIJ_eL3i94FdkgRxXt7vpdq3SM?authuser=0&hl=en&rclk=1
Taste of Pakistan Restaurant and Take away,Pakistani restaurant,4.4,,369 Hanworth Rd,,,https://www.google.com/maps/place/Taste+of+Pakistan+Restaurant+and+Take+away/data=!4m7!3m6!1s0x4876734a83808211:0xc857e32067f9fd79!8m2!3d51.4587954!4d-0.3710133!16s%2Fg%2F1hc1pgwnq!19sChIJEYKAg0pzdkgRef35ZyDjV8g?authuser=0&hl=en&rclk=1
Lahori Nihaari London,Pakistani restaurant,4.1,,50 Plashet Grove,,,https://www.google.com/maps/place/Lahori+Nihaari+London/data=!4m7!3m6!1s0x47d8a7b7ea024f45:0xa8bcf3b13580b755!8m2!3d51.5369759!4d0.0366534!16s%2Fg%2F1tlkbn26!19sChIJRU8C6ren2EcRVbeANbHzvKg?authuser=0&hl=en&rclk=1
Taste of Lahore Harrow,Pakistani restaurant,4.4,,251 Station Rd,,,https://www.google.com/maps/place/Taste+of+Lahore+Harrow/data=!4m7!3m6!1s0x4876137674ddf5a1:0x795a131899e07b4!8m2!3d51.5831162!4d-0.3319532!16s%2Fg%2F1th5c1x2!19sChIJofXddHYTdkgRtAeeiTGhlQc?authuser=0&hl=en&rclk=1
Salloos,Pakistani restaurant,4.2,,62-64 Kinnerton St,,,https://www.google.com/maps/place/Salloos/data=!4m7!3m6!1s0x4876053a4a93c693:0xa5e99e5c2950952f!8m2!3d51.5016875!4d-0.156929!16s%2Fg%2F1tgk02yl!19sChIJk8aTSjoFdkgRL5VQKVye6aU?authuser=0&hl=en&rclk=1
Zayna,Pakistani restaurant,4.3,,25 New Quebec St,,,https://www.google.com/maps/place/Zayna/data=!4m7!3m6!1s0x4876053352b0739d:0xb97c7cafb1a02c9b!8m2!3d51.5149792!4d-0.1582701!16s%2Fg%2F1tf35f84!19sChIJnXOwUjMFdkgRmyygsa98fLk?authuser=0&hl=en&rclk=1
Mirch Masala Tooting,Pakistani restaurant,4.5,,213 Upper Tooting Rd,,,https://www.google.com/maps/place/Mirch+Masala+Tooting/data=!4m7!3m6!1s0x4876060aa16f7e6d:0xa56e155f0455f1f9!8m2!3d51.43054!4d-0.165207!16s%2Fg%2F1tg80yky!19sChIJbX5voQoGdkgR-fFVBF8VbqU?authuser=0&hl=en&rclk=1
KHAAO,Pakistani restaurant,4.3,,Camden Lock Market Unit WY21,,,https://www.google.com/maps/place/KHAAO/data=!4m7!3m6!1s0x48761b3c6133dde3:0xa8b7b93adc6ae39f!8m2!3d51.5412934!4d-0.1463145!16s%2Fg%2F11fwjvzqdw!19sChIJ490zYTwbdkgRn-Nq3Dq5t6g?authuser=0&hl=en&rclk=1
Salwa Restaurant,Pakistani restaurant,4.5,,4 Crawford Pl,,,https://www.google.com/maps/place/Salwa+Restaurant/data=!4m7!3m6!1s0x48761ab5a14b4837:0x92e54a7b40b03e9f!8m2!3d51.5177813!4d-0.1663496!16s%2Fg%2F1tghcmm0!19sChIJN0hLobUadkgRnz6wQHtK5ZI?authuser=0&hl=en&rclk=1
Biryani guys,Pakistani restaurant,4.6,,49 Bedford St,,,https://www.google.com/maps/place/Biryani+guys/data=!4m7!3m6!1s0x48760500407f9beb:0x3202af67ce67867f!8m2!3d51.5099611!4d-0.1235502!16s%2Fg%2F11ldp_wy6_!19sChIJ65t_QAAFdkgRf4ZnzmevAjI?authuser=0&hl=en&rclk=1
Lahori Karahi Commercial Road (East London),Pakistani restaurant,4.4,,230 Commercial Rd,,,https://www.google.com/maps/place/Lahori+Karahi+Commercial+Road+%28East+London%29/data=!4m7!3m6!1s0x48760388c749b447:0xcc13a60f9b1bd777!8m2!3d51.514432!4d-0.0584538!16s%2Fg%2F11xggkf4xq!19sChIJR7RJx4gDdkgRd9cbmw-mE8w?authuser=0&hl=en&rclk=1
Koyla Lahore Karahi,Pakistani restaurant,3.9,,31 Seven Sisters Rd,,,https://www.google.com/maps/place/Koyla+Lahore+Karahi/data=!4m7!3m6!1s0x48761ba026120f0b:0x1e9182321da6a59a!8m2!3d51.5587885!4d-0.1180252!16s%2Fg%2F11b75h9xvh!19sChIJCw8SJqAbdkgRmqWmHTKCkR4?authuser=0&hl=en&rclk=1
Raavi Kebab,Pakistani restaurant,4.0,,125 Drummond St,,,https://www.google.com/maps/place/Raavi+Kebab/data=!4m7!3m6!1s0x48761b266a0b45c1:0x38ba2997eb24c57c!8m2!3d51.5270419!4d-0.1366368!16s%2Fg%2F1vyxhx6y!19sChIJwUULaiYbdkgRfMUk65cpujg?authuser=0&hl=en&rclk=1
Shaheen Tandoori Restaurant,Pakistani restaurant,4.3,,215 Waterloo Rd,,,https://www.google.com/maps/place/Shaheen+Tandoori+Restaurant/data=!4m7!3m6!1s0x487604bb5b085715:0xff53fdc899ace142!8m2!3d51.5000614!4d-0.1071532!16s%2Fg%2F11cfjdfwc!19sChIJFVcIW7sEdkgRQuGsmcj9U_8?authuser=0&hl=en&rclk=1
Lahore Biryani,Pakistani restaurant,4.1,,330 Edgware Rd,,,https://www.google.com/maps/place/Lahore+Biryani/data=!4m7!3m6!1s0x48761ab14fdcb82f:0xc1596b8aa39e1a81!8m2!3d51.5208975!4d-0.1709786!16s%2Fg%2F1tgp08q4!19sChIJL7jcT7EadkgRgRqeo4prWcE?authuser=0&hl=en&rclk=1
Needoo Grill,Punjabi restaurant,4.0,,87 New Rd,,,https://www.google.com/maps/place/Needoo+Grill/data=!4m7!3m6!1s0x48761ccceebb76cd:0xf1c2fe3b0512afa1!8m2!3d51.5170168!4d-0.0626455!16s%2Fg%2F1vspq_2g!19sChIJzXa77swcdkgRoa8SBTv-wvE?authuser=0&hl=en&rclk=1
Shezan,Pakistani restaurant,4.2,,16-22 Cheval Pl,,,https://www.google.com/maps/place/Shezan/data=!4m7!3m6!1s0x48760540d21c8a2f:0x391456c36d6178fb!8m2!3d51.4988764!4d-0.1668078!16s%2Fg%2F1tj2hc9y!19sChIJL4oc0kAFdkgR-3hhbcNWFDk?authuser=0&hl=en&rclk=1
